UKPRN	UK learning provider name	Website	Status	CO2 emissions (g)	Website carbon link	Date last checked
10000291	Anglia Ruskin University	http://www.anglia.ac.uk/		1.22		2021-06-01
10007759	Aston University	http://www.aston.ac.uk/		1.29		2021-06-01
10007857	Bangor University	http://www.bangor.ac.uk/		4.75		2021-06-01
10000571	Bath Spa University	http://www.bathspa.ac.uk/		0.83		2021-06-01
10007760	Birkbeck College	http://www.bbk.ac.uk/		0.96		2021-06-01
10007140	Birmingham City University	http://www.bcu.ac.uk/		3.73		2021-06-01
10007811	Bishop Grosseteste University College Lincoln	http://www.bishopg.ac.uk/		2.19		2021-06-01
10000824	Bournemouth University	http://www.bournemouth.ac.uk/		2.91		2021-06-01
10000961	Brunel University	http://www.brunel.ac.uk/		2.87		2021-06-01
10000975	Buckinghamshire New University	http://www.bucks.ac.uk/		1.67		2021-06-01
10001143	Canterbury Christ Church University	http://www.canterbury.ac.uk/		3.71		2021-06-01
10007854	Cardiff Metropolitan University	http://www.cardiffmet.ac.uk/		2.68		2021-06-01
10007814	Cardiff University	http://www.cardiff.ac.uk/		0.71		2021-06-01
10007816	Central School of Speech and Drama(The)	http://www.cssd.ac.uk/		2.51		2021-06-01
10007761	Courtauld Institute of Art	http://www.courtauld.ac.uk/		0.73		2021-06-01
10001726	Coventry University	http://www.coventry.ac.uk/		0.85		2021-06-01
10007822	Cranfield University	http://www.cranfield.ac.uk/		5.00		2021-06-01
10001883	De Montfort University	http://www.dmu.ac.uk/		0.68		2021-06-01
10007823	Edge Hill University	http://www.edgehill.ac.uk/		6.48		2021-06-01
10007772	Edinburgh Napier University	http://www.napier.ac.uk/		1.62		2021-06-01
10007762	Glasgow Caledonian University	http://www.gcu.ac.uk/		5.67		2021-06-01
10002681	Glasgow School of Art	http://www.gsa.ac.uk/		1.50		2021-06-01
10007833	Glyndwr University	http://www.glyndwr.ac.uk/		2.35		2021-06-01
10002718	Goldsmiths' College	http://www.gold.ac.uk/		1.03		2021-06-01
10007825	Guildhall School of Music and Drama	http://www.gsmd.ac.uk/		4.40		2021-06-01
10040812	Harper Adams University	http://www.harper-adams.ac.uk/		2.00		2021-06-01
10007764	Heriot-Watt University	http://www.hw.ac.uk/		1.28		2021-06-01
10007765	Heythrop College	http://www.heythrop.ac.uk/		0.34		2021-06-01
10003270	Imperial College of Science, Technology and Medicine	http://www.imperial.ac.uk/		1.75		2021-06-01
10003324	Institute of Cancer Research: Royal Cancer Hospital (The)	http://www.icr.ac.uk/		0.73		2021-06-01
10007766	Institute of Education, University of London	http://www.ioe.ac.uk/		2.01		2021-06-01
10003645	King's College London	http://www.kcl.ac.uk/		1.72		2021-06-01
10003678	Kingston University	http://www.kingston.ac.uk/		0.88		2021-06-01
10003854	Leeds College of Art	http://www.leeds-art.ac.uk/		4.85		2021-06-01
10034449	Leeds College of Music	http://www.lcm.ac.uk/		5.43		2021-06-01
10003861	Leeds Metropolitan University	http://www.leedsmet.ac.uk/		2.65		2021-06-01
10003863	Leeds Trinity University College	http://www.leedstrinity.ac.uk/		2.94		2021-06-01
10003956	Liverpool Hope University	http://www.hope.ac.uk/		2.98		2021-06-01
10003957	Liverpool John Moores University	http://www.ljmu.ac.uk/		3.49		2021-06-01
10007769	London Business School	http://www.london.edu/		3.59		2021-06-01
10004048	London Metropolitan University	http://www.londonmet.ac.uk/		3.48		2021-06-01
10004063	London School of Economics & Political Science	http://www.lse.ac.uk/		0.72		2021-06-01
10007771	London School of Hygiene and Tropical Medicine	http://www.lshtm.ac.uk/		0.95		2021-06-01
10004078	London South Bank University	http://www.lsbu.ac.uk/		4.55		2021-06-01
10004113	Loughborough University	http://www.lboro.ac.uk/		2.83		2021-06-01
10004351	Middlesex University	http://www.mdx.ac.uk/		3.26		2021-06-01
10007832	Newman University College	http://www.newman.ac.uk/		1.24		2021-06-01
10008816	Northern School of Contemporary Dance	http://www.nscd.ac.uk/		2.27		2021-06-01
10004775	Norwich University College of the Arts	http://www.nua.ac.uk/		1.96		2021-06-01
10004797	Nottingham Trent University	http://www.ntu.ac.uk/		2.36		2021-06-01
10007773	Open University(The)	http://www.open.ac.uk/		0.98		2021-06-01
10004930	Oxford Brookes University	http://www.brookes.ac.uk/		2.93		2021-06-01
10007856	Prifysgol Aberystwyth	http://www.aber.ac.uk/		0.97		2021-06-01
10005337	Queen Margaret University, Edinburgh	http://www.qmu.ac.uk/		2.65		2021-06-01
10007775	Queen Mary and Westfield College, University of London	http://www.qmul.ac.uk/		6.91		2021-06-01
10005389	Ravensbourne Limited	http://www.rave.ac.uk/		0.41		2021-06-01
10007776	Roehampton University	http://www.roehampton.ac.uk/		3.40		2021-06-01
10005523	Rose Bruford College	http://www.bruford.ac.uk/		6.71		2021-06-01
10007835	Royal Academy of Music	http://www.ram.ac.uk/		11.11		2021-06-01
10005545	Royal Agricultural College	http://www.rac.ac.uk/		2.19		2021-06-01
10007777	Royal College of Art(The)	http://www.rca.ac.uk/		1.26		2021-06-01
10007778	Royal College of Music	http://www.rcm.ac.uk/		2.20		2021-06-01
10005561	Royal Conservatoire of Scotland	http://www.rcs.ac.uk/		17.54		2021-06-01
10005553	Royal Holloway College and Bedford New College	http://www.rhul.ac.uk/		2.95		2021-06-01
10007837	Royal Northern College of Music	http://www.rncm.ac.uk/		3.15		2021-06-01
10007838	Royal Welsh College of Music and Drama Limited	http://www.rwcmd.ac.uk/		4.98		2021-06-01
10007780	School of Oriental and African Studies	http://www.soas.ac.uk/		1.62		2021-06-01
10007781	School of Pharmacy University of London(The)	http://www.pharmacy.ac.uk/		1.88		2021-06-01
10005790	Sheffield Hallam University	http://www.shu.ac.uk/		1.30		2021-06-01
10006022	Southampton Solent University	http://www.solent.ac.uk/		2.09		2021-06-01
10005700	Sruc	http://www.sruc.ac.uk/		0.66		2021-06-01
10007782	St George's Hospital Medical School	http://www.sgul.ac.uk/		2.72		2021-06-01
10008026	St Mary's University College	http://www.stmarys-belfast.ac.uk/		1.99		2021-06-01
10007843	St Mary's University College, Twickenham	http://www.smuc.ac.uk/	FAIL			
10006299	Staffordshire University	http://www.staffs.ac.uk/	FAIL			
10008010	Stranmillis University College	http://www.stran.ac.uk/	FAIL			
10007846	Swansea Metropolitan University	http://www.smu.ac.uk/	FAIL			
10007855	Swansea University	http://www.swan.ac.uk/	FAIL			
10007161	Teesside University	http://www.tees.ac.uk/	FAIL			
10000385	The Arts University College at Bournemouth	http://www.aub.ac.uk/	FAIL			
10001478	The City University	http://www.city.ac.uk/	FAIL			
