UKPRN	UK learning provider name	Website	Status	CO2 emissions (g)	Website carbon link	Date last checked
10004113	Loughborough University	https://www.lboro.ac.uk/		1.16		2023-12-07
10004351	Middlesex University	https://www.mdx.ac.uk/		1.11		2023-12-07
10007832	Newman University College	https://www.newman.ac.uk/		1.00		2023-12-07
10008816	Northern School of Contemporary Dance	https://www.nscd.ac.uk/		1.01		2023-12-07
10004775	Norwich University College of the Arts	https://www.nua.ac.uk/		0.21		2023-12-07
10004797	Nottingham Trent University	https://www.ntu.ac.uk/		1.26		2023-12-07
10007773	Open University(The)	https://www.open.ac.uk/		0.89		2023-12-07
10004930	Oxford Brookes University	https://www.brookes.ac.uk/		1.05		2023-12-07
10037449	Plymouth Marjon University	https://www.marjon.ac.uk/		0.21		2023-12-07
10007856	Prifysgol Aberystwyth	https://www.aber.ac.uk/		0.31		2023-12-07
10005337	Queen Margaret University, Edinburgh	https://www.qmu.ac.uk/		0.62		2023-12-07
10007775	Queen Mary and Westfield College, University of London	https://www.qmul.ac.uk/		0.80		2023-12-07
10005389	Ravensbourne Limited	https://www.rave.ac.uk/		0.31		2023-12-07
10007776	Roehampton University	https://www.roehampton.ac.uk/		1.27		2023-12-07
10005523	Rose Bruford College	https://www.bruford.ac.uk/		1.15		2023-12-07
10007835	Royal Academy of Music	https://www.ram.ac.uk/		2.85		2023-12-07
10005545	Royal Agricultural University	https://www.rau.ac.uk/		0.98		2023-12-07
10007777	Royal College of Art(The)	https://www.rca.ac.uk/		0.47		2023-12-07
10007778	Royal College of Music	https://www.rcm.ac.uk/		1.12		2023-12-07
10005561	Royal Conservatoire of Scotland	https://www.rcs.ac.uk/		8.72		2023-12-07
10005553	Royal Holloway College and Bedford New College	https://www.rhul.ac.uk/		3.56		2023-12-07
10007837	Royal Northern College of Music	https://www.rncm.ac.uk/		0.69		2023-12-07
10007838	Royal Welsh College of Music and Drama Limited	https://www.rwcmd.ac.uk/		0.78		2023-12-07
10007780	School of Oriental and African Studies	https://www.soas.ac.uk/		0.82		2023-12-07
10005790	Sheffield Hallam University	https://www.shu.ac.uk/		0.74		2023-12-07
10006022	Southampton Solent University	https://www.solent.ac.uk/		1.01		2023-12-07
10005700	Sruc	https://www.sruc.ac.uk/		0.53		2023-12-07
10007782	St George's Hospital Medical School	https://www.sgul.ac.uk/		1.15		2023-12-07
10008026	St Mary's University College	https://www.stmarys-belfast.ac.uk/		0.91		2023-12-07
10007843	St Mary's University College, Twickenham	https://www.smuc.ac.uk/		1.50		2023-12-07
10006299	Staffordshire University	https://www.staffs.ac.uk/		0.52		2023-12-07
10008010	Stranmillis University College	https://www.stran.ac.uk/		0.49		2023-12-07
10007855	Swansea University	https://www.swan.ac.uk/		0.74		2023-12-07
10007161	Teesside University	https://www.tees.ac.uk/		0.74		2023-12-07
10000385	The Arts University College at Bournemouth	https://aub.ac.uk/		5.81		2023-12-07
10001478	The City University	https://www.city.ac.uk/		5.13		2023-12-07
10003945	The Liverpool Institute for Performing Arts	https://www.lipa.ac.uk/		3.31		2023-12-07
10004180	The Manchester Metropolitan University	https://www.mmu.ac.uk/		0.57		2023-12-07
10005343	The Queen's University of Belfast	https://www.qub.ac.uk/		0.72		2023-12-07
10005500	The Robert Gordon University	https://www.rgu.ac.uk/		0.88		2023-12-07
10007779	The Royal Veterinary College	https://www.rvc.ac.uk/		5.47		2023-12-07
10006841	The University of Bolton	https://www.bolton.ac.uk/		0.88		2023-12-07
10007787	The University of Buckingham	https://www.buckingham.ac.uk/		0.26		2023-12-07
10007137	The University of Chichester	https://www.chi.ac.uk/		0.19		2023-12-07
10007842	The University of Cumbria	https://www.cumbria.ac.uk/		1.47		2023-12-07
10007798	The University of Manchester	https://www.manchester.ac.uk/		0.32		2023-12-07
10007138	The University of Northampton	https://www.northampton.ac.uk/		0.52		2023-12-07
10006566	The University of West London	https://www.uwl.ac.uk/		0.35		2023-12-07
10007165	The University of Westminster	https://www.westminster.ac.uk/		0.17		2023-12-07
10008017	Trinity Laban Conservatoire of Music and Dance Ltd	https://www.trinitylaban.ac.uk/		3.15		2023-12-07
10014001	University Campus Suffolk Ltd	https://www.ucs.ac.uk/		1.37		2023-12-07
10000712	University College Birmingham	https://www.ucb.ac.uk/		0.54		2023-12-07
10008640	University College Falmouth	https://www.falmouth.ac.uk/		2.52		2023-12-07
10007784	University College London	https://www.ucl.ac.uk/		1.00		2023-12-07
10006427	University for the Creative Arts	https://www.uca.ac.uk/		0.78		2023-12-07
10007783	University of Aberdeen	https://www.abdn.ac.uk/		2.04		2023-12-07
10007849	University of Abertay Dundee	https://www.abertay.ac.uk/		0.68		2023-12-07
10007850	University of Bath (The)	https://www.bath.ac.uk/		2.92		2023-12-07
10007152	University of Bedfordshire	https://www.beds.ac.uk/		1.94		2023-12-07
10006840	University of Birmingham	https://www.birmingham.ac.uk/		0.34		2023-12-07
10007785	University of Bradford	https://www.bradford.ac.uk/		0.59		2023-12-07
