UKPRN,UK learning provider name,Website,Status,CO2 emissions (g),Website carbon link,Date last checked
10007797,University of London,http://www.lon.ac.uk/,,5.36,,2021-09-01
10007799,University of Newcastle Upon Tyne,http://www.ncl.ac.uk/,,3.00,,2021-09-01
10001282,University of Northumbria at Newcastle,http://www.northumbria.ac.uk/,,0.90,,2021-09-01
10007154,University of Nottingham,http://www.nottingham.ac.uk/,,8.09,,2021-09-01
10007774,University of Oxford,http://www.ox.ac.uk/,,1.33,,2021-09-01
10007801,University of Plymouth,http://www.plymouth.ac.uk/,,2.06,,2021-09-01
10007155,University of Portsmouth,http://www.port.ac.uk/,,0.67,,2021-09-01
10007802,University of Reading,http://www.reading.ac.uk/,,1.45,,2021-09-01
10007156,University of Salford,http://www.salford.ac.uk/,,4.97,,2021-09-01
10007157,University of Sheffield,http://www.shef.ac.uk/,,1.16,,2021-09-01
10007158,University of Southampton,http://www.soton.ac.uk/,,1.24,,2021-09-01
10007803,University of St Andrews,http://www.st-andrews.ac.uk/,,0.86,,2021-09-01
10007804,University of Stirling,http://www.stir.ac.uk/,,0.99,,2021-09-01
10007805,University of Strathclyde,http://www.strath.ac.uk/,,1.69,,2021-09-01
10007159,University of Sunderland,http://www.sunderland.ac.uk/,,9.54,,2021-09-01
10007160,University of Surrey,http://www.surrey.ac.uk/,,0.96,,2021-09-01
10007806,University of Sussex,http://www.sussex.ac.uk/,,0.77,,2021-09-01
10007807,University of Ulster,http://www.ulster.ac.uk/,,1.06,,2021-09-01
10008574,University of Wales Prifysgol Cymru,https://www.wales.ac.uk/cy/Hafan.aspx,,0.42,,2021-09-01
10007858,University of Wales: Trinity Saint David,http://www.trinitysaintdavid.ac.uk/,,1.66,,2021-09-01
10007163,University of Warwick,http://www.warwick.ac.uk/,,1.51,,2021-09-01
10003614,University of Winchester,http://www.winchester.ac.uk/,,18.28,,2021-09-01
10007166,University of Wolverhampton,http://www.wlv.ac.uk/,,1.12,,2021-09-01
10007139,University of Worcester,http://www.worc.ac.uk/,,1.18,,2021-09-01
10007167,University of York,http://www.york.ac.uk/,,1.09,,2021-09-01
10007162,"University of the Arts, London",http://www.arts.ac.uk/,,4.53,,2021-09-01
10007114,University of the Highlands and Islands,http://www.uhi.ac.uk/,,0.76,,2021-09-01
10007164,"University of the West of England, Bristol",http://www.uwe.ac.uk/,,0.73,,2021-09-01
10007800,University of the West of Scotland,http://www.uws.ac.uk/,,5.00,,2021-09-01
10007657,Writtle College,http://www.writtle.ac.uk/,,7.93,,2021-09-01
10007713,York St John University,http://www.yorksj.ac.uk/,,1.10,,2021-09-01
,
